label,frame_count,folder_count,unique_sizes,width_min,width_p25,width_median,width_p75,width_max,height_min,height_p25,height_median,height_p75,height_max,aspect_ratio_min,aspect_ratio_p25,aspect_ratio_median,aspect_ratio_p75,aspect_ratio_max,area_min,area_p25,area_median,area_p75,area_max
inaction,4605,36,2083,29.0,60.0,98.0,191.0,350.0,56.0,79.0,174.0,310.0,499.0,0.32620320855614976,0.5112781954887218,0.6822916666666666,0.7795275590551181,1.8761061946902655,2072.0,4758.0,17400.0,53312.0,165282.0
move,3901,106,3571,29.0,75.0,115.0,180.0,415.0,64.0,172.0,247.0,319.0,534.0,0.20353982300884957,0.3953488372093023,0.4536082474226804,0.6204379562043796,3.6739130434782608,2112.0,12972.0,29887.0,56862.0,180320.0
work,15664,153,11744,30.0,108.0,144.0,195.0,421.0,44.0,207.0,287.0,341.25,518.0,0.19796954314720813,0.4468814564182412,0.5333333333333333,0.6739300804143382,2.7787610619469025,2491.0,22780.0,40749.0,63889.25,206412.0
